           YEAR,           JDAY,        QOMEAS1,         QOSIM1,        QOMEAS2,         QOSIM2,
           1980,             95,   9.220000    ,   2.409302    ,  -1.000000    ,  0.8394397    ,
           1980,             96,   9.430000    ,   2.400436    ,  -1.000000    ,  0.8355255    ,
           1980,             97,   9.480000    ,   2.390633    ,  -1.000000    ,  0.8316172    ,
           1980,             98,   9.150000    ,   2.376539    ,  -1.000000    ,  0.8277407    ,
           1980,             99,   8.820000    ,   2.365366    ,  -1.000000    ,  0.8238847    ,
           1980,            100,   9.000000    ,   2.354505    ,  -1.000000    ,  0.8200533    ,
           1980,            101,   9.290000    ,   2.343731    ,  -1.000000    ,  0.8162436    ,
           1980,            102,   9.310000    ,   2.335753    ,  -1.000000    ,  0.8124587    ,
           1980,            103,   9.320000    ,   2.333354    ,  -1.000000    ,  0.8089878    ,
           1980,            104,   9.260000    ,   2.404308    ,  -1.000000    ,  0.8074573    ,
           1980,            105,   9.450000    ,   2.583965    ,  -1.000000    ,  0.8070650    ,
           1980,            106,   8.400000    ,   2.549448    ,  -1.000000    ,  0.8023974    ,
           1980,            107,   8.110000    ,   2.413875    ,  -1.000000    ,  0.7979029    ,
           1980,            108,   9.420000    ,   3.137062    ,  -1.000000    ,  0.8003957    ,
           1980,            109,   9.780000    ,   3.539548    ,  -1.000000    ,  0.8105014    ,
           1980,            110,   9.570000    ,   6.204897    ,  -1.000000    ,  0.9191103    ,
           1980,            111,   9.540000    ,   15.57560    ,  -1.000000    ,  0.9090261    ,
           1980,            112,   9.960000    ,   6.340883    ,  -1.000000    ,  0.8459014    ,
           1980,            113,   10.30000    ,   15.48800    ,  -1.000000    ,  0.8092663    ,
           1980,            114,   11.10000    ,   36.96247    ,  -1.000000    ,   1.005491    ,
           1980,            115,   11.80000    ,   51.52113    ,  -1.000000    ,   1.237638    ,
           1980,            116,   11.70000    ,   63.46412    ,  -1.000000    ,   1.782800    ,
           1980,            117,   11.30000    ,   90.68644    ,  -1.000000    ,   12.83840    ,
           1980,            118,   10.90000    ,   101.6105    ,  -1.000000    ,   31.83360    ,
           1980,            119,   11.00000    ,   113.5524    ,  -1.000000    ,   45.20814    ,
           1980,            120,   11.70000    ,   102.9856    ,  -1.000000    ,   36.42648    ,
           1980,            121,   13.20000    ,   68.41032    ,  -1.000000    ,   35.94674    ,
           1980,            122,   13.30000    ,   78.33163    ,  -1.000000    ,   34.66637    ,
           1980,            123,   13.40000    ,   76.77337    ,   3.600000    ,   28.38848    ,
           1980,            124,   14.50000    ,   75.03222    ,   3.800000    ,   21.95287    ,
           1980,            125,   15.80000    ,   71.86868    ,   4.110000    ,   14.77465    ,
           1980,            126,   17.40000    ,   70.20679    ,   4.600000    ,   15.37867    ,
           1980,            127,   17.20000    ,   67.83942    ,   4.560000    ,   24.71555    ,
           1980,            128,   16.80000    ,   131.4717    ,   4.520000    ,   60.07313    ,
           1980,            129,   15.90000    ,   105.8921    ,   4.480000    ,   12.65521    ,
           1980,            130,   15.40000    ,   49.08275    ,   4.460000    ,   6.692610    ,
           1980,            131,   15.40000    ,   38.19844    ,   4.450000    ,   7.155434    ,
           1980,            132,   15.70000    ,   37.52629    ,   4.430000    ,   10.91173    ,
           1980,            133,   15.80000    ,   36.54157    ,   4.390000    ,   9.027013    ,
           1980,            134,   15.00000    ,   38.24619    ,   4.310000    ,   8.742282    ,
           1980,            135,   14.60000    ,   37.90212    ,   4.350000    ,   8.457131    ,
           1980,            136,   14.90000    ,   49.87119    ,   4.510000    ,   20.61882    ,
           1980,            137,   15.50000    ,   58.53670    ,   5.110000    ,   21.24767    ,
           1980,            138,   17.30000    ,   60.68106    ,   6.050000    ,   19.05931    ,
           1980,            139,   20.90000    ,   55.29062    ,   7.190000    ,   11.09279    ,
           1980,            140,   26.70000    ,   39.51209    ,   8.500000    ,   5.836135    ,
           1980,            141,   32.00000    ,   37.29163    ,   9.320000    ,   37.28505    ,
           1980,            142,   34.30000    ,   135.6349    ,   10.10000    ,   95.92484    ,
           1980,            143,   37.30000    ,   253.5108    ,   12.00000    ,   78.84628    ,
           1980,            144,   52.10000    ,   165.2924    ,   15.20000    ,   40.11442    ,
           1980,            145,   60.60000    ,   176.0878    ,   15.50000    ,   27.98812    ,
           1980,            146,   56.10000    ,   68.17706    ,   14.80000    ,   12.14984    ,
           1980,            147,   53.60000    ,   171.2828    ,   14.00000    ,   10.98465    ,
           1980,            148,   52.40000    ,   88.49680    ,   13.20000    ,   4.386635    ,
           1980,            149,   50.20000    ,   36.36657    ,   12.90000    ,   10.88209    ,
           1980,            150,   51.20000    ,   79.16634    ,   13.20000    ,   19.91286    ,
           1980,            151,   50.20000    ,   99.91174    ,   12.80000    ,   7.303371    ,
           1980,            152,   50.10000    ,   98.66810    ,   13.20000    ,   3.227548    ,
           1980,            153,   48.50000    ,   27.33068    ,   12.70000    ,   14.23210    ,
           1980,            154,   46.60000    ,   156.5154    ,   12.30000    ,   41.95320    ,
           1980,            155,   47.80000    ,   245.2392    ,   12.20000    ,   47.46540    ,
           1980,            156,   50.60000    ,   164.2531    ,   12.50000    ,   35.48022    ,
           1980,            157,   60.80000    ,   98.49017    ,   13.60000    ,   23.13014    ,
           1980,            158,   76.00000    ,   69.80746    ,   15.70000    ,   14.40761    ,
           1980,            159,   89.60000    ,   45.77423    ,   19.10000    ,   20.35994    ,
           1980,            160,   102.0000    ,   44.48385    ,   21.60000    ,   12.09495    ,
           1980,            161,   111.0000    ,   38.39143    ,   24.80000    ,   8.778409    ,
           1980,            162,   129.0000    ,   56.70554    ,   29.40000    ,   21.85237    ,
           1980,            163,   138.0000    ,   43.02635    ,   31.60000    ,   3.979939    ,
           1980,            164,   130.0000    ,   32.14540    ,   30.20000    ,   3.553899    ,
           1980,            165,   113.0000    ,   35.22362    ,   26.00000    ,   1.644571    ,
