,Unnamed: 0,S_1_COMID,S_1_unitarea,ID_t,lat_t,lon_t,order_t,AS1,IDS1,ID_s,lat_s,lon_s,AS2,IDS2,AINT,AP1,AP2,weight,AP2N,rows,cols,easymore_case
0,241,71028585,6.241354829974287,71028585,51.16759235209231,-115.57361832611844,51,6241353.64454029,51,4671.0,51.172,-115.5869,100194351.53098074,4671,6241353.644540285,0.9999999999999992,0.0622924700761241,1.0,0.0831093070157966,31.0,21.0,2
1,240,71028597,11.788642878306794,71028597,51.17700427742134,-115.61300336083104,50,11788643.770754503,50,4671.0,51.172,-115.5869,100194351.53098074,4671,11788643.770754503,1.0,0.1176577680340531,1.0,0.1569765262861754,31.0,21.0,2
2,237,71028609,18.72742536069085,71028609,51.17266565685709,-115.64982568763249,49,18727424.70832323,49,4825.0,51.2265,-115.7701,100214991.20601718,4825,356747.24470439914,0.0190494555583953,0.0035598191489236,0.0190494555583953,0.0035598191489237,32.0,20.0,2
3,233,71028609,18.72742536069085,71028609,51.17266565685709,-115.64982568763249,49,18727424.70832323,49,4826.0,51.2568,-115.6352,100210702.20009908,4826,640198.1456544613,0.0341850604461344,0.0063885207028698,0.0341850604461344,0.0083877930055984,32.0,21.0,2
4,236,71028609,18.72742536069085,71028609,51.17266565685709,-115.64982568763249,49,18727424.70832323,49,4671.0,51.172,-115.5869,100194351.53098074,4671,14792079.495180158,0.7898619124393519,0.147633866272455,0.789861912439352,0.1969700078191208,31.0,21.0,2
5,235,71028609,18.72742536069085,71028609,51.17266565685709,-115.64982568763249,49,18727424.70832323,49,4670.0,51.1418,-115.7216,100199934.00316706,4670,2938399.8227842087,0.1569035715561181,0.0293253668479595,0.1569035715561181,0.0293253668479591,31.0,20.0,2
6,230,71028676,120.12561692984607,71028676,51.194884720286446,-115.75492915374124,48,120125630.93808688,48,4671.0,51.172,-115.5869,100194351.53098074,4671,754021.7722432752,0.0062769432830858,0.0075255916199041,0.0062769432830858,0.0100404864929869,31.0,21.0,2
7,227,71028676,120.12561692984607,71028676,51.194884720286446,-115.75492915374124,48,120125630.93808688,48,4980.0,51.3112,-115.8188,100230093.82956985,4980,4090.474743278533,3.4051640031649664e-05,4.081084419848924e-05,3.405164003164965e-05,4.6420669518682925e-05,33.0,20.0,2
8,232,71028676,120.12561692984607,71028676,51.194884720286446,-115.75492915374124,48,120125630.93808688,48,4825.0,51.2265,-115.7701,100214991.20601718,4825,68623531.4526987,0.571264691113818,0.6847631340068246,0.5712646911138177,0.6847631340068359,32.0,20.0,2
9,228,71028676,120.12561692984607,71028676,51.194884720286446,-115.75492915374124,48,120125630.93808688,48,4669.0,51.1114,-115.8561,100190896.32779302,4669,3841607.1992030777,0.0319799127730122,0.0383428768481574,0.0319799127730122,0.0457150457995245,31.0,19.0,2
10,229,71028676,120.12561692984607,71028676,51.194884720286446,-115.75492915374124,48,120125630.93808688,48,4670.0,51.1418,-115.7216,100199934.00316706,4670,46526812.6976646,0.3873179465058932,0.464339753918341,0.3873179465058931,0.4643397539183349,31.0,20.0,2
11,231,71028676,120.12561692984607,71028676,51.194884720286446,-115.75492915374124,48,120125630.93808688,48,4824.0,51.1961,-115.9049,100208757.40873124,4824,375567.3415340057,0.0031264546841595,0.0037478495018368,0.0031264546841595,0.0037478495018369,32.0,19.0,2
12,224,71028700,12.53572247848998,71028700,51.231533936002265,-115.83923518438785,47,12535728.618561711,47,4824.0,51.1961,-115.9049,100208757.40873124,4824,3899693.8177483496,0.3110863306321146,0.038915698773135,0.3110863306321145,0.0389156987731356,32.0,19.0,2
