,           YEAR,           JDAY,        PRECACC,          ETACC,         ROFACC,      OVRFLWACC,      LATFLWACC,    DRAINSOLACC,       DSTGWACC,           PREC,             ET,            ROF,         OVRFLW,         LATFLW,       DRAINSOL,        FZWSCAN,        LQWSCAN,            SNO,        LQWSSNO,        LQWSPND,       LQWSSOL1,       FZWSSOL1,       ALWSSOL1,       LQWSSOL2,       FZWSSOL2,       ALWSSOL2,       LQWSSOL3,       FZWSSOL3,       ALWSSOL3,       LQWSSOL4,       FZWSSOL4,       ALWSSOL4,        LQWSSOL,        FZWSSOL,        ALWSSOL,          STGGW,            DZS,           STGW,          DSTGW
7,0,0,101.67,0.25,97.36,0.03,97.38999999999999,0,12.259999999999998,0.990000000000002,0.08999999999999986,5.380000000000003,0.0,5.380000000000003,0,0.08,0.09999999999999998,0.04,0.0,0.01,0.00999999999999801,0.42,0.4299999999999997,0.269999999999996,0.0,0.269999999999996,6.969999999999999,0.0,6.969999999999999,31.420000000000016,0,31.420000000000016,38.67000000000007,0.42,39.09000000000003,7.280000000000001,0,32.02999999999997,0.8399999999999999
8,0,0,118.34999999999998,0.1900000000000004,108.7,0.03,108.73,0,10.649999999999999,16.68,0.43000000000000016,11.329999999999998,0.0,11.329999999999998,0,1.5899999999999999,0.24000000000000005,2.77,0.04,0.0,0.3200000000000003,0.09,0.23000000000000043,1.0799999999999983,0.0,1.0799999999999983,6.689999999999998,0.0,6.689999999999998,33.5,0,33.5,39.440000000000055,0.09,39.34000000000003,7.449999999999999,0,36.530000000000086,4.5
9,0,0,149.42,0.45000000000000107,138.51,0.03,138.55999999999997,0,9.32,31.060000000000002,0.26,29.830000000000002,0.0,29.830000000000002,0,0.45,0.08999999999999997,2.7,0.04,0.01,0.6899999999999977,0.19999999999999996,0.490000000000002,0.5100000000000051,0.0,0.5100000000000051,6.310000000000002,0.0,6.310000000000002,34.620000000000005,0,34.620000000000005,41.10000000000002,0.19999999999999996,40.90000000000009,7.3700000000000045,0,36.84000000000003,0.30999999999999994
10,0,0,125.20999999999998,0.15000000000000036,121.51000000000002,0.52,120.99000000000001,0,8.32,24.200000000000003,0.6000000000000001,17.010000000000005,0.55,17.550000000000004,0,0.01,0.09999999999999998,1.47,0.06,0.049999999999999996,0.06999999999999673,0.0,0.06999999999999673,0.47999999999998977,0.0,0.47999999999998977,6.939999999999998,0.0,6.939999999999998,35.140000000000015,0,35.140000000000015,41.52999999999997,0.0,41.52999999999997,7.200000000000003,0,36.00999999999999,0.8299999999999996
11,0,0,84.69,1.1500000000000004,82.83000000000001,1.21,81.63000000000002,0,7.93,40.519999999999996,1.29,38.67999999999999,0.69,39.379999999999995,0,0.03,0.13,1.21,0.05,0.1,1.3500000000000014,0.0,1.3500000000000014,1.7800000000000011,0.0,1.7800000000000011,4.219999999999999,0.0,4.219999999999999,35.01000000000002,0,35.01000000000002,36.10000000000002,0.0,36.10000000000002,7.020000000000003,0,30.58000000000004,5.43
12,0,0,60.02999999999997,1.3000000000000007,56.90999999999997,1.46,55.44999999999999,0,7.75,24.66,0.15000000000000002,25.910000000000004,0.25,26.160000000000004,0,0.0,0.15000000000000002,1.02,0.04,0.1,1.0599999999999987,0.0,1.0599999999999987,1.1500000000000057,0.0,1.1500000000000057,2.3700000000000045,0.0,2.3700000000000045,34.18000000000001,0,34.18000000000001,34.35000000000002,0.0,34.35000000000002,6.970000000000006,0,28.690000000000055,1.8900000000000001
13,0,0,61.77000000000004,1.0899999999999999,58.27000000000004,1.9,56.370000000000005,0,7.559999999999995,1.7300000000000004,0.2100000000000002,1.3599999999999994,0.44,0.9199999999999999,0,0.02,0.13000000000000006,0.86,0.03,0.1,0.04999999999999716,0.0,0.04999999999999716,0.38000000000000256,0.0,0.38000000000000256,2.219999999999999,0.0,2.219999999999999,33.49000000000001,0,33.49000000000001,35.280000000000086,0.0,35.280000000000086,7.160000000000004,0,29.210000000000036,0.5200000000000001
14,0,0,65.83999999999997,1.2899999999999991,64.38999999999999,2.9699999999999998,61.43000000000001,0,7.420000000000002,4.080000000000002,0.20999999999999996,6.119999999999997,1.07,5.059999999999999,0,0.0,0.10000000000000009,0.66,0.03,0.1,0.020000000000003126,0.0,0.020000000000003126,0.3100000000000023,0.0,0.3100000000000023,2.700000000000017,0.0,2.700000000000017,32.99999999999997,0,32.99999999999997,35.41999999999996,0.0,35.41999999999996,7.549999999999997,0,28.75,0.47
15,0,0,67.25999999999999,1.259999999999998,65.08999999999997,3.07,62.00999999999999,0,7.340000000000003,1.41,0.040000000000000036,0.7000000000000002,0.11,0.5900000000000003,0,0.03,0.020000000000000018,0.54,0.02,0.09,0.28999999999999915,0.0,0.28999999999999915,0.3300000000000054,0.0,0.3300000000000054,2.780000000000001,0.0,2.780000000000001,32.84,0,32.84,35.59000000000003,0.0,35.59000000000003,8.030000000000001,0,28.160000000000082,0.5899999999999999
16,0,0,67.25999999999999,1.4099999999999966,64.82,3.08,61.75,0,7.280000000000001,0.0,0.15000000000000002,0.27,0.0,0.27,0,0.03,0.01,0.59,0.01,0.0,0.23000000000000043,0.43999999999999995,0.23000000000000043,0.259999999999998,0.0,0.259999999999998,3.0600000000000023,0.0,3.0600000000000023,32.77000000000001,0,32.77000000000001,35.34000000000003,0.43999999999999995,35.789999999999964,8.520000000000003,0,27.83000000000004,0.32000000000000006
17,0,0,67.25999999999999,1.3599999999999994,64.94,3.08,61.86999999999995,0,7.229999999999997,0.0,0.050000000000000044,0.11000000000000001,0.0,0.11000000000000001,0,0.0,0.0,0.59,0.0,0.0,0.5799999999999983,0.3099999999999996,0.28000000000000114,0.19999999999999574,0.0,0.19999999999999574,3.0900000000000034,0.0,3.0900000000000034,32.79999999999998,0,32.79999999999998,36.66999999999996,0.3099999999999996,36.360000000000014,9.030000000000001,0,27.92999999999995,0.09999999999999987
18,0,0,67.25999999999999,1.379999999999999,64.82999999999998,3.08,61.75999999999999,0,7.199999999999996,0.0,0.019999999999999962,0.1,0.0,0.1,0,0.0,0.0,0.57,0.0,0.0,1.75,3.0300000000000002,1.2899999999999991,0.6899999999999977,0.0,0.6899999999999977,2.769999999999982,0.0,2.769999999999982,33.27000000000004,0,33.27000000000004,33.60000000000002,3.0300000000000002,36.61999999999995,9.46,0,27.730000000000018,0.19999999999999996
