           YEAR,           JDAY,           FSIN,          FSOUT,           ALBT,           FLIN,          FLOUT,            GTE,          QSENS,           QEVP,          GZERO,             TA,           TCAN,           CMAS,           TSNO,           TPND,          TSOL1,          TSOL2,          TSOL3,             QA,             UV,           PRES,
           1980,            281,   156.6847    ,   123.4100    ,  0.2034575    ,   254.6533    ,   334.1256    ,   3.697205    ,   3.588773    ,   33.67899    ,   6.295298    ,   10.76212    ,   5.442841    ,   8.520179    , -0.6200867    , -0.3051758E-04,   2.451355    ,   1.988861    ,   2.411743    ,  0.4575351E-02,   4.387077    ,   78979.89    ,
           1980,            282,   128.7749    ,   101.2508    ,  0.2031386    ,   255.7658    ,   322.7376    ,   1.371002    ,   11.02720    ,   25.93638    ,  -2.951943    ,   5.443512    ,   1.754944    ,   8.563915    , -0.9003906    ,  0.6103516E-04,   1.817902    ,   2.177002    ,   2.408569    ,  0.3999930E-02,   3.919657    ,   78491.20    ,
           1980,            283,   139.8514    ,   109.5077    ,  0.2165986    ,   203.3712    ,   301.4187    ,  -3.330597    ,   32.48035    ,   10.15522    ,  -29.66403    ,  -2.773376    ,  -4.544922    ,   8.697703    ,  -2.997314    , -0.6103516E-04,  0.2092896    ,   1.790619    ,   2.405914    ,  0.2745530E-02,   1.453939    ,   79191.79    ,
           1980,            284,   122.6789    ,   95.98087    ,  0.2175297    ,   224.8606    ,   304.4447    ,  -2.708679    ,   17.63959    ,   13.56296    ,  -16.03775    ,  0.4313354    ,  -3.161804    ,   8.654151    ,  -3.603027    ,  0.3051758E-04, -0.6123352    ,   1.004883    ,   2.397339    ,  0.2393435E-02,   1.159291    ,   79109.70    ,
           1980,            285,   134.1645    ,   104.4846    ,  0.2211793    ,   240.0759    ,   314.1056    , -0.6140137    ,   16.80452    ,   18.26459    ,  -5.184853    ,   2.761658    , -0.7150269    ,   8.591293    ,  -2.616058    ,   0.000000    , -0.4165039    ,  0.3757935    ,   2.380035    ,  0.2719099E-02,  0.7780859    ,   78317.84    ,
           1980,            286,   115.5390    ,   90.61697    ,  0.2155800    ,   251.6875    ,   312.7157    , -0.8927612    ,   15.23382    ,   15.93297    ,  -2.750306    ,   3.600739    , -0.8066406    ,   8.551833    ,  -2.363892    , -0.3051758E-04, -0.3788452    ,  0.2628784    ,   2.357788    ,  0.3807616E-02,   1.376280    ,   77700.33    ,
           1980,            287,   86.61115    ,   67.32636    ,  0.2225780    ,   269.4052    ,   312.0663    , -0.9233704    ,   19.25712    ,   10.48476    ,  -4.442225    ,  0.3503113    ,  -1.249298    ,   8.593548    ,  -1.357819    ,   0.000000    ,  0.9246826E-01,  0.1485291    ,   2.334717    ,  0.4040835E-02,   1.124587    ,   77767.37    ,
           1980,            288,   102.8450    ,   79.74821    ,  0.2244844    ,   245.8600    ,   301.9448    ,  -3.234436    ,   24.40112    ,   7.487388    ,  -9.224713    ,  -2.159058    ,  -3.793427    ,   8.645964    ,  -3.662170    , -0.6103516E-04, -0.8828735    ,  0.5426025    ,   2.313782    ,  0.3184185E-02,   1.119830    ,   78216.46    ,
           1980,            289,   135.6379    ,   105.1936    ,  0.2247228    ,   218.8032    ,   297.8169    ,  -4.273041    ,   30.12539    ,   10.32516    ,  -13.33023    ,  -2.987061    ,  -4.406891    ,   8.673924    ,  -4.498169    ,   0.000000    ,  -1.131989    ,  0.4415283    ,   2.295013    ,  0.2759347E-02,   1.230167    ,   78601.84    ,
           1980,            290,   126.0631    ,   97.92063    ,  0.2240852    ,   229.6669    ,   295.0429    ,  -5.163605    ,   25.82426    ,   10.92381    ,  -7.502705    ,  -2.858887    ,  -5.387268    ,   8.661834    ,  -6.313660    ,  0.2462769E-01,  -2.510498    ,  0.4396667    ,   2.279419    ,  0.2340463E-02,   1.069443    ,   78319.58    ,
           1980,            291,   128.0823    ,   98.90668    ,  0.2280844    ,   254.6573    ,   317.3214    ,  0.8706665E-01,   20.43489    ,   15.06916    ,   1.155101    ,   2.621979    ,  0.5838623    ,   8.591239    ,  -1.729309    ,  0.1495361E-02, -0.2618408E-01,  0.2835083E-01,   2.259125    ,  0.4494505E-02,  0.9948525    ,   78380.88    ,
