,S_1_COMID,S_1_unitarea,ID_t,lat_t,lon_t,order_t,AS1,IDS1,ID_s,lat_s,lon_s,AS2,IDS2,AINT,AP1,AP2,weight,AP2N
198,71028974,13.984263472768145,71028974,51.43795268280193,-116.1526981687797,42,13984264.172342706,42,5288.0,51.4191,-116.1875,100241287.56481984,5288,13507077.924562918,0.9658769140872252,0.13474565473661465,0.9658769140872252,0.134745654736622
199,71028974,13.984263472768145,71028974,51.43795268280193,-116.1526981687797,42,13984264.172342706,42,5289.0,51.4499,-116.0522,100244102.91919631,5289,413194.18723373435,0.02954708107209006,0.004121880242340016,0.02954708107209006,0.00414598044967097
196,71029016,8.364503786725496,71029016,51.40971990145674,-116.17702067266491,41,8364511.379157128,41,5288.0,51.4191,-116.1875,100241287.56481984,5288,8364511.379157128,1.0,0.08344377434047139,1.0,0.08344377434047594
194,71029022,0.139727367688363,71029022,51.42278846153847,-116.18025641025638,40,139727.36769206487,40,5288.0,51.4191,-116.1875,100241287.56481984,5288,139727.36769206487,1.0,0.001393910344594405,1.0,0.0013939103445944811
192,71029071,9.518970433517712,71029071,51.44211625282167,-116.2007533860045,39,9518971.440156389,39,5288.0,51.4191,-116.1875,100241287.56481984,5288,8887740.177923132,0.9336870305576958,0.08866346785675493,0.9336870305576972,0.08866346785675977
193,71029071,9.518970433517712,71029071,51.44211625282167,-116.2007533860045,39,9518971.440156389,39,5443.0,51.5036,-116.2372,100256031.2423876,5443,631231.2622332425,0.06631296944230268,0.006296192402700677,0.06631296944230278,0.0062961924027005265
188,71029528,85.56274339216739,71029528,51.52335156054151,-116.28186915058075,38,85562744.1825463,38,5443.0,51.5036,-116.2372,100256031.2423876,5443,50772094.97398122,0.5933902127503067,0.5064243451970509,0.5933902127503075,0.5064243451970388
186,71029528,85.56274339216739,71029528,51.52335156054151,-116.28186915058075,38,85562744.1825463,38,5288.0,51.4191,-116.1875,100241287.56481984,5288,981852.4854432626,0.011475233699242993,0.009794891000460857,0.011475233699243007,0.009794891000461391
190,71029528,85.56274339216739,71029528,51.52335156054151,-116.28186915058075,38,85562744.1825463,38,5598.0,51.5881,-116.2871,100274426.0816763,5598,27428864.451377675,0.3205701817237041,0.27353798493981013,0.3205701817237045,0.27353798493981035
189,71029528,85.56274339216739,71029528,51.52335156054151,-116.28186915058075,38,85562744.1825463,38,5597.0,51.557,-116.4226,100283232.62985829,5597,4516269.431715291,0.05278312979396647,0.04503514010547182,0.05278312979396653,0.07956182592350948
187,71029528,85.56274339216739,71029528,51.52335156054151,-116.28186915058075,38,85562744.1825463,38,5442.0,51.4726,-116.3725,100263193.53747237,5442,1863662.840028751,0.02178124203277849,0.018587706757337882,0.02178124203277852,0.053089209306364044
182,71029778,33.23130075101772,71029778,51.61169028829123,-116.31135193536274,37,33231299.416593153,37,5598.0,51.5881,-116.2871,100274426.0816763,5598,27720006.0850494,0.8341535411404395,0.27644143345652944,0.83415354114044,0.27644143345652966
183,71029778,33.23130075101772,71029778,51.61169028829123,-116.31135193536274,37,33231299.416593153,37,5753.0,51.6726,-116.3372,100289660.16089223,5753,5511293.331543731,0.16584645885955981,0.0549537541826555,0.16584645885955993,0.0684183565076423
179,71029798,8.979954945136939,71029798,51.145288982540585,-115.67396698775835,36,8979954.930220384,36,4670.0,51.1418,-115.7216,100199934.00316706,4670,8804798.328924924,0.9804947126509508,0.08787229668880447,0.9804947126509512,0.08787229668880338
180,71029798,8.979954945136939,71029798,51.145288982540585,-115.67396698775835,36,8979954.930220384,36,4671.0,51.172,-115.5869,100194351.53098074,4671,175156.6012954558,0.019505287349048772,0.001748168420864486,0.01950528734904878,0.0023323696399805056
175,71029857,26.894711333089166,71029857,51.20475925182362,-115.57700428294181,35,26894707.552349526,35,4826.0,51.2568,-115.6352,100210702.20009908,4826,3712284.678260993,0.13803030469973218,0.0370447925896015,0.13803030469973188,0.04863787199395378
177,71029857,26.894711333089166,71029857,51.20475925182362,-115.57700428294181,35,26894707.552349526,35,4671.0,51.172,-115.5869,100194351.53098074,4671,23153216.980939686,0.8608837607128774,0.23108305635154056,0.8608837607128755,0.30830616690908486
178,71029857,26.894711333089166,71029857,51.20475925182362,-115.57700428294181,35,26894707.552349526,35,4672.0,51.2021,-115.4521,100188494.97162603,4672,29205.893148904746,0.0010859345873925784,0.00029150945083241374,0.001085934587392576,1.0
173,71029963,14.547657339155206,71029963,51.11326360480966,-115.67752107350933,34,14547665.003871612,34,4670.0,51.1418,-115.7216,100199934.00316706,4670,12459836.812226176,0.8564836218671659,0.12434975068778341,0.8564836218671661,0.12434975068778187
174,71029963,14.547657339155206,71029963,51.11326360480966,-115.67752107350933,34,14547665.003871612,34,4671.0,51.172,-115.5869,100194351.53098074,4671,126747.29494043555,0.008712552489124814,0.0012650143746001936,0.008712552489124815,0.0016877556454185213
172,71029963,14.547657339155206,71029963,51.11326360480966,-115.67752107350933,34,14547665.003871612,34,4515.0,51.0571,-115.6733,100188493.14658695,4515,1961080.8967049979,0.13480382564370913,0.019573913481618268,0.13480382564370916,0.02061943946113161
166,71029992,80.6156284867371,71029992,51.51280034375685,-116.1791905633178,33,80615625.55520587,33,5288.0,51.4191,-116.1875,100241287.56481984,5288,7405161.878906491,0.09185764953018209,0.07387337152985023,0.09185764953018197,0.07387337152985426
167,71029992,80.6156284867371,71029992,51.51280034375685,-116.1791905633178,33,80615625.55520587,33,5289.0,51.4499,-116.0522,100244102.91919631,5289,181309.36974183508,0.00224905988749878,0.0018086786600103849,0.002249059887498777,0.0018192538170112046
169,71029992,80.6156284867371,71029992,51.51280034375685,-116.1791905633178,33,80615625.55520587,33,5444.0,51.5345,-116.1017,100254287.36112264,5444,28217149.41736559,0.3500208455002608,0.2814557876784414,0.35002084550026036,0.35241098433982215
168,71029992,80.6156284867371,71029992,51.51280034375685,-116.1791905633178,33,80615625.55520587,33,5443.0,51.5036,-116.2372,100256031.2423876,5443,42552500.70904078,0.527844328143316,0.42443831240598584,0.5278443281433154,0.4244383124059757
171,71029992,80.6156284867371,71029992,51.51280034375685,-116.1791905633178,33,80615625.55520587,33,5599.0,51.619,-116.1514,100273689.36690547,5599,673232.9895615471,0.008351147620885416,0.006713954516006292,0.008351147620885405,0.006819726669068687
170,71029992,80.6156284867371,71029992,51.51280034375685,-116.1791905633178,33,80615625.55520587,33,5598.0,51.5881,-116.2871,100274426.0816763,5598,1586271.1905897243,0.019676969317858114,0.015819299621796512,0.019676969317858086,0.015819299621796526
164,71030026,0.51967862627117,71030026,51.565446735395206,-116.15334192439855,32,519678.6725208635,32,5599.0,51.619,-116.1514,100273689.36690547,5599,48138.606132320994,0.09263148302548126,0.00048007215488182444,0.09263148302548126,0.0004876352483353319
163,71030026,0.51967862627117,71030026,51.565446735395206,-116.15334192439855,32,519678.6725208635,32,5444.0,51.5345,-116.1017,100254287.36112264,5444,471540.06638854253,0.9073685169745188,0.004703440409386421,0.9073685169745188,0.005889180954947288
158,71030071,8.020691044098491,71030071,51.095951417004066,-115.65397885739998,31,8020688.013726417,31,4515.0,51.0571,-115.6733,100188493.14658695,4515,7563375.32960373,0.9429833596145302,0.0754914570731957,0.9429833596145308,0.07952377690926032
160,71030071,8.020691044098491,71030071,51.095951417004066,-115.65397885739998,31,8020688.013726417,31,4670.0,51.1418,-115.7216,100199934.00316706,4670,457312.6841226816,0.05701664038546911,0.004564001849624244,0.05701664038546914,0.004564001849624188
157,71030100,19.69020368190655,71030100,51.19584339001653,-115.84550009142451,30,19690199.27984487,30,4825.0,51.2265,-115.7701,100214991.20601718,4825,2922784.3972065733,0.1484385381613873,0.029165141482655553,0.14843853816138716,0.029165141482656
156,71030100,19.69020368190655,71030100,51.19584339001653,-115.84550009142451,30,19690199.27984487,30,4824.0,51.1961,-115.9049,100208757.4087252,4824,16372378.02488641,0.8314988483456021,0.16338270674396033,0.8314988483456013,0.16338270674396296
154,71030100,19.69020368190655,71030100,51.19584339001653,-115.84550009142451,30,19690199.27984487,30,4669.0,51.1114,-115.8561,100190896.32779302,4669,395036.8577519021,0.020062613493011555,0.003942841837241041,0.020062613493011538,0.004700930394022219
149,71030270,25.139651095073123,71030270,51.600547629188,-116.14307211811474,29,25139650.650692243,29,5444.0,51.5345,-116.1017,100254287.36112264,5444,426408.6464550014,0.016961597930688025,0.004253270934130218,0.01696159793068803,0.005325523446948096
151,71030270,25.139651095073123,71030270,51.600547629188,-116.14307211811474,29,25139650.650692243,29,5599.0,51.619,-116.1514,100273689.36690547,5599,24713242.00423724,0.9830384020693118,0.24645789100080373,0.9830384020693119,0.2503406074696484
148,71030287,32.08196751822735,71030287,51.4018479414558,-116.05402952349029,28,32081965.261371985,28,5289.0,51.4499,-116.0522,100244102.91919631,5289,16106122.754938237,0.5020304281150344,0.16066902975749994,0.5020304281150346,0.1616084449518193
145,71030287,32.08196751822735,71030287,51.4018479414558,-116.05402952349029,28,32081965.261371985,28,5133.0,51.3346,-116.1379,100230637.07975683,5133,28836.148864627932,0.0008988273826026441,0.00028769795049473805,0.0008988273826026444,0.00029993124629356
146,71030287,32.08196751822735,71030287,51.4018479414558,-116.05402952349029,28,32081965.261371985,28,5134.0,51.3653,-116.0029,100233806.51057333,5134,15947006.35756911,0.4970707445023627,0.15909808190200692,0.4970707445023629,0.15909808190200783
144,71030302,17.094724173106993,71030302,51.18994497103739,-115.90939494470764,27,17094727.18615843,27,4824.0,51.1961,-115.9049,100208757.4087252,4824,17094727.18615844,1.0000000000000007,0.1705911501969188,1.0,0.17059115019692156
137,71030418,74.48828939730865,71030418,51.01642151868036,-115.59888355167413,26,74488302.13513575,26,4360.0,50.9723,-115.6251,100161140.7840008,4360,34934519.68871038,0.4689933679161139,0.3487831649606234,0.46899336791611357,0.878923660061911
139,71030418,74.48828939730865,71030418,51.01642151868036,-115.59888355167413,26,74488302.13513575,26,4515.0,51.0571,-115.6733,100188493.14658695,4515,24766547.006578982,0.33248907944831146,0.2471995159198847,0.33248907944831124,0.2604034935639094
138,71030418,74.48828939730865,71030418,51.01642151868036,-115.59888355167413,26,74488302.13513575,26,4361.0,51.0024,-115.4909,100165776.52068916,4361,10794287.508379037,0.1449125191334899,0.10776422729722947,0.14491251913348982,1.0
140,71030418,74.48828939730865,71030418,51.01642151868036,-115.59888355167413,26,74488302.13513575,26,4516.0,51.0872,-115.5388,100187468.9732141,4516,3992947.931467408,0.05360503350208535,0.03985476399783044,0.053605033502085314,0.1953945927469614
133,71030527,31.641691415599308,71030527,51.03585973625619,-115.66737554946616,25,31641691.577494476,25,4360.0,50.9723,-115.6251,100161140.7840008,4360,4812413.152134531,0.15209089376111032,0.048046708678294525,0.1520908937611103,0.12107633993808899
134,71030527,31.641691415599308,71030527,51.03585973625619,-115.66737554946616,25,31641691.577494476,25,4515.0,51.0571,-115.6733,100188493.14658695,4515,26829278.42535995,0.8479091062388898,0.2677880221844011,0.8479091062388896,0.28209171952419027
128,71030563,36.3215347823274,71030563,51.059644224077914,-115.72337024058064,24,36321529.29878293,24,4514.0,51.0268,-115.8076,100177058.37932591,4514,7639517.278490306,0.21033027589910133,0.07626014780313128,0.21033027589910144,0.7017415152178823
129,71030563,36.3215347823274,71030563,51.059644224077914,-115.72337024058064,24,36321529.29878293,24,4515.0,51.0571,-115.6733,100188493.14658695,4515,28682012.020292602,0.7896697241008981,0.2862805010783785,0.7896697241008985,0.3015719603763173
123,71030690,65.96896382496796,71030690,51.106573299431254,-115.77731538440517,23,65968959.199608654,23,4515.0,51.0571,-115.6733,100188493.14658695,4515,3278418.804088942,0.04969638514637033,0.03272250835524843,0.04969638514637034,0.03447035671640437
124,71030690,65.96896382496796,71030690,51.106573299431254,-115.77731538440517,23,65968959.199608654,23,4669.0,51.1114,-115.8561,100190896.32779302,4669,30455724.0450258,0.46166749353848335,0.30397695959705034,0.4616674935384835,0.36242248292976087
125,71030690,65.96896382496796,71030690,51.106573299431254,-115.77731538440517,23,65968959.199608654,23,4670.0,51.1418,-115.7216,100199934.00316706,4670,28987821.839642037,0.43941608585836234,0.289299809705721,0.4394160858583625,0.2892998097057174
122,71030690,65.96896382496796,71030690,51.106573299431254,-115.77731538440517,23,65968959.199608654,23,4514.0,51.0268,-115.8076,100177058.37932591,4514,3246994.5108518526,0.04922003545678366,0.03241255596223369,0.049220035456783676,0.2982584847821177
118,71030774,35.558875383565294,71030774,51.12230351891289,-115.59961679849917,22,35558881.9139084,22,4515.0,51.0571,-115.6733,100188493.14658695,4515,2027639.0514513548,0.05702201369436956,0.02023824281381987,0.05702201369436961,0.02131925344878659
121,71030774,35.558875383565294,71030774,51.12230351891289,-115.59961679849917,22,35558881.9139084,22,4671.0,51.172,-115.5869,100194351.53098074,4671,17063934.829096254,0.4798782726186313,0.1703083514026235,0.47987827261863175,0.22722183029148887
120,71030774,35.558875383565294,71030774,51.12230351891289,-115.59961679849917,22,35558881.9139084,22,4670.0,51.1418,-115.7216,100199934.00316706,4670,24951.81780743329,0.0007017042287168683,0.00024902030181621305,0.000701704228716869,0.00024902030181620996
119,71030774,35.558875383565294,71030774,51.12230351891289,-115.59961679849917,22,35558881.9139084,22,4516.0,51.0872,-115.5388,100187468.9732141,4516,16442356.215553325,0.4623980094582813,0.1641158957708505,0.4623980094582817,0.8046054072530385
116,71030784,35.48685914400276,71030784,51.12454605497131,-115.90130455215166,21,35486859.28681138,21,4669.0,51.1114,-115.8561,100190896.32779302,4669,27364837.717120208,0.7711259397725934,0.2731269877813159,0.771125939772594,0.3256409998904124
115,71030784,35.48685914400276,71030784,51.12454605497131,-115.90130455215166,21,35486859.28681138,21,4668.0,51.0809,-115.9904,100179795.96328664,4668,1323107.0341435857,0.0372844219165745,0.013207324105835382,0.03728442191657454,0.13154610125057722
117,71030784,35.48685914400276,71030784,51.12454605497131,-115.90130455215166,21,35486859.28681138,21,4824.0,51.1961,-115.9049,100208757.4087252,4824,6798914.5355475545,0.19158963831083123,0.06784750865452376,0.1915896383108314,0.06784750865452485
110,71030838,50.691906631079426,71030838,51.15346635743226,-115.96890550579374,20,50691901.50246705,20,4668.0,51.0809,-115.9904,100179795.96328664,4668,8735017.239895133,0.17231583312119433,0.08719340218157658,0.17231583312119444,0.8684538987494228
112,71030838,50.691906631079426,71030838,51.15346635743226,-115.96890550579374,20,50691901.50246705,20,4823.0,51.1655,-116.0394,100199502.59522548,4823,25459713.057657674,0.5022441909467257,0.2540902140054219,0.502244190946726,0.8408769867073849
111,71030838,50.691906631079426,71030838,51.15346635743226,-115.96890550579374,20,50691901.50246705,20,4669.0,51.1114,-115.8561,100190896.32779302,4669,3031721.585778921,0.059806823100360014,0.030259451675729937,0.059806823100360056,0.03607742383813741
113,71030838,50.691906631079426,71030838,51.15346635743226,-115.96890550579374,20,50691901.50246705,20,4824.0,51.1961,-115.9049,100208757.4087252,4824,13465449.619135289,0.26563315283171923,0.13437398055155256,0.2656331528317194,0.13437398055155472
106,71030896,26.857362737268478,71030896,51.14773634594737,-115.85318387681157,19,26857359.11883567,19,4824.0,51.1961,-115.9049,100208757.4087252,4824,7912526.259101404,0.29461296712349394,0.07896042685000361,0.29461296712349405,0.07896042685000489
104,71030896,26.857362737268478,71030896,51.14773634594737,-115.85318387681157,19,26857359.11883567,19,4669.0,51.1114,-115.8561,100190896.32779302,4669,18944832.859734256,0.7053870328765057,0.18908736775597593,0.705387032876506,0.22544311714814116
100,71031094,31.697741876133875,71031094,51.2558967160116,-115.61448599058491,18,31697750.225895688,18,4826.0,51.2568,-115.6352,100210702.20009908,4826,31697750.225895688,1.0,0.31631102796388094,1.0,0.41529980903987224
98,71031120,77.50658197268143,71031120,51.24199997679701,-116.01904380713721,17,77506556.91867915,17,4824.0,51.1961,-115.9049,100208757.4087252,4824,16942037.030184772,0.2185884356591994,0.16906742951698975,0.21858843565919925,0.16906742951699247
97,71031120,77.50658197268143,71031120,51.24199997679701,-116.01904380713721,17,77506556.91867915,17,4823.0,51.1655,-116.0394,100199502.59522548,4823,4817858.406570479,0.062160655796198463,0.048082657915310356,0.06216065579619842,0.15912301329261508
94,71031120,77.50658197268143,71031120,51.24199997679701,-116.01904380713721,17,77506556.91867915,17,4979.0,51.2807,-115.9538,100222852.81220296,4979,19193930.72967904,0.2476426704106796,0.19151251626856525,0.24764267041067944,0.19151251626857005
95,71031120,77.50658197268143,71031120,51.24199997679701,-116.01904380713721,17,77506556.91867915,17,5133.0,51.3346,-116.1379,100230637.07975683,5133,417255.61542627175,0.0053834879526910425,0.0041629548367955365,0.005383487952691039,0.004339969159727211
93,71031120,77.50658197268143,71031120,51.24199997679701,-116.01904380713721,17,77506556.91867915,17,4978.0,51.25,-116.0886,100220123.76089515,4978,36135475.13681864,0.4662247501812322,0.3605610707788641,0.4662247501812319,0.6816683595696934
87,71031296,93.33141750026856,71031296,51.27375469354751,-115.7018512313946,16,93331413.22036369,16,4980.0,51.3112,-115.8188,100230093.82956983,4980,11828854.72153287,0.12674033654246616,0.11801699738649878,0.12674033654246603,0.13423951748267757
88,71031296,93.33141750026856,71031296,51.27375469354751,-115.7018512313946,16,93331413.22036369,16,4981.0,51.3415,-115.6837,100225338.62746647,4981,26856316.95556461,0.28775217291689864,0.2679593536260172,0.2877521729168983,1.0
92,71031296,93.33141750026856,71031296,51.27375469354751,-115.7018512313946,16,93331413.22036369,16,4825.0,51.2265,-115.7701,100214991.20601718,4825,13368516.292657686,0.1432370498997314,0.13339836816604944,0.14323704989973124,0.1333983681660515
86,71031296,93.33141750026856,71031296,51.27375469354751,-115.7018512313946,16,93331413.22036369,16,4826.0,51.2568,-115.6352,100210702.20009908,4826,40274748.411599725,0.4315240391411142,0.40190067056091244,0.4315240391411137,0.5276745259605765
91,71031296,93.33141750026856,71031296,51.27375469354751,-115.7018512313946,16,93331413.22036369,16,4671.0,51.172,-115.5869,100194351.53098074,4671,1002976.8390088917,0.01074640149979059,0.010010313193142079,0.010746401499790578,0.01335554989995484
81,71031359,57.98097231752554,71031359,51.32445917703885,-116.18446057031402,15,57980969.753565475,15,4978.0,51.25,-116.0886,100220123.76089515,4978,185598.36016329488,0.003201022006912565,0.0018519071140452278,0.0032010220069125643,0.0035011724415498265
82,71031359,57.98097231752554,71031359,51.32445917703885,-116.18446057031402,15,57980969.753565475,15,5132.0,51.3037,-116.2728,100249130.81151858,5132,16983293.38273449,0.2929115096715008,0.16941087912936914,0.29291150967150076,0.5867454207552619
83,71031359,57.98097231752554,71031359,51.32445917703885,-116.18446057031402,15,57980969.753565475,15,5133.0,51.3346,-116.1379,100230637.07975683,5133,40812078.010667704,0.7038874683215869,0.4071816681978404,0.7038874683215868,0.42449556905238633
78,71031503,37.456959230433476,71031503,51.36395094095677,-116.23004728726731,14,37456951.72420907,14,5133.0,51.3346,-116.1379,100230637.07975683,5133,4708623.324852893,0.12570759520213784,0.0469778848268328,0.12570759520213776,0.04897544636698756
77,71031503,37.456959230433476,71031503,51.36395094095677,-116.23004728726731,14,37456951.72420907,14,5132.0,51.3037,-116.2728,100249130.81151858,5132,11961616.593509555,0.3193430336131319,0.11931890577683862,0.31934303361313165,0.41325457924473813
79,71031503,37.456959230433476,71031503,51.36395094095677,-116.23004728726731,14,37456951.72420907,14,5287.0,51.3882,-116.3225,100259294.10237402,5287,5850961.580688857,0.15620495826165373,0.05835829618663067,0.15620495826165362,0.2030590983923547
80,71031503,37.456959230433476,71031503,51.36395094095677,-116.23004728726731,14,37456951.72420907,14,5288.0,51.4191,-116.1875,100241287.56481984,5288,14935750.225157786,0.3987444129230771,0.14899798863317432,0.39874441292307683,0.14899798863318245
68,71031506,123.10121078710958,71031506,51.337355303825625,-115.87135055837435,13,123101215.34791912,13,4980.0,51.3112,-115.8188,100230093.82956983,4980,64756585.506606326,0.5260434295761074,0.6460792665396256,0.5260434295761085,0.7348887949742353
67,71031506,123.10121078710958,71031506,51.337355303825625,-115.87135055837435,13,123101215.34791912,13,4979.0,51.2807,-115.9538,100222852.81220296,4979,3553478.3815490445,0.028866314369893925,0.03545576963576893,0.028866314369893988,0.03545576963576982
74,71031506,123.10121078710958,71031506,51.337355303825625,-115.87135055837435,13,123101215.34791912,13,5290.0,51.4805,-115.9168,100249962.73298009,5290,1405787.726790915,0.011419771306219505,0.014022825430222739,0.01141977130621953,0.09172494793256902
