,Unnamed: 0,S_1_COMID,S_1_unitarea,ID_t,lat_t,lon_t,order_t,AS1,IDS1,ID_s,lat_s,lon_s,AS2,IDS2,AINT,AP1,AP2,weight,AP2N,rows,cols,easymore_case
0,241,71028585,6.241354829974287,71028585,51.16759235209231,-115.57361832611844,51,6241353.64454044,51,4671.0,51.172,-115.5869,100194351.53098074,4671,6241353.644540432,0.9999999999999988,0.0622924700761256,1.0,0.0831093070157981,31.0,21.0,2
1,240,71028597,11.788642878306794,71028597,51.17700427742134,-115.61300336083104,50,11788643.770754583,50,4671.0,51.172,-115.5869,100194351.53098074,4671,11788643.770754589,1.0000000000000002,0.1176577680340539,1.0,0.1569765262861756,31.0,21.0,2
2,237,71028609,18.72742536069085,71028609,51.17266565685709,-115.64982568763249,49,18727424.70832233,49,4825.0,51.2265,-115.7701,100214991.20601718,4825,356747.24470439914,0.0190494555583963,0.0035598191489236,0.0190494555583963,0.0035598191489237,32.0,20.0,2
3,233,71028609,18.72742536069085,71028609,51.17266565685709,-115.64982568763249,49,18727424.70832233,49,4826.0,51.2568,-115.6352,100210702.20009908,4826,640198.1456543864,0.034185060446132,0.0063885207028691,0.034185060446132,0.0083877930055975,32.0,21.0,2
4,236,71028609,18.72742536069085,71028609,51.17266565685709,-115.64982568763249,49,18727424.70832233,49,4671.0,51.172,-115.5869,100194351.53098074,4671,14792079.495179558,0.7898619124393575,0.147633866272449,0.789861912439358,0.1969700078191117,31.0,21.0,2
5,235,71028609,18.72742536069085,71028609,51.17266565685709,-115.64982568763249,49,18727424.70832233,49,4670.0,51.1418,-115.7216,100199934.00316706,4670,2938399.822783982,0.1569035715561135,0.0293253668479572,0.1569035715561136,0.0293253668479569,31.0,20.0,2
6,230,71028676,120.12561692984607,71028676,51.194884720286446,-115.75492915374124,48,120125630.93808413,48,4671.0,51.172,-115.5869,100194351.53098074,4671,754021.7722432752,0.006276943283086,0.0075255916199041,0.0062769432830859,0.0100404864929868,31.0,21.0,2
7,227,71028676,120.12561692984607,71028676,51.194884720286446,-115.75492915374124,48,120125630.93808413,48,4980.0,51.3112,-115.8188,100230093.82956985,4980,4090.474743278533,3.4051640031650444e-05,4.081084419848924e-05,3.40516400316504e-05,4.642066951868293e-05,33.0,20.0,2
8,232,71028676,120.12561692984607,71028676,51.194884720286446,-115.75492915374124,48,120125630.93808413,48,4825.0,51.2265,-115.7701,100214991.20601718,4825,68623531.45269932,0.5712646911138363,0.6847631340068309,0.5712646911138355,0.6847631340068413,32.0,20.0,2
9,228,71028676,120.12561692984607,71028676,51.194884720286446,-115.75492915374124,48,120125630.93808413,48,4669.0,51.1114,-115.8561,100190896.32779302,4669,3841607.199203225,0.0319799127730141,0.0383428768481589,0.0319799127730141,0.0457150457995259,31.0,19.0,2
10,229,71028676,120.12561692984607,71028676,51.194884720286446,-115.75492915374124,48,120125630.93808413,48,4670.0,51.1418,-115.7216,100199934.00316706,4670,46526812.69766109,0.3873179465058728,0.4643397539183059,0.3873179465058723,0.4643397539183001,31.0,20.0,2
11,231,71028676,120.12561692984607,71028676,51.194884720286446,-115.75492915374124,48,120125630.93808413,48,4824.0,51.1961,-115.9049,100208757.4087252,4824,375567.34153408057,0.0031264546841602,0.0037478495018378,0.0031264546841602,0.0037478495018379,32.0,19.0,2
12,224,71028700,12.53572247848998,71028700,51.231533936002265,-115.83923518438785,47,12535728.618562233,47,4824.0,51.1961,-115.9049,100208757.4087252,4824,3899693.817748801,0.3110863306321376,0.0389156987731418,0.3110863306321377,0.0389156987731425,32.0,19.0,2
13,225,71028700,12.53572247848998,71028700,51.231533936002265,-115.83923518438785,47,12535728.618562233,47,4825.0,51.2265,-115.7701,100214991.20601718,4825,8636034.80081343,0.6889136693678622,0.0861750791661487,0.6889136693678624,0.08617507916615,32.0,20.0,2
14,220,71028740,62.58661212739475,71028740,51.26779744981474,-115.89569548548282,46,62586609.34967241,46,4824.0,51.1961,-115.9049,100208757.4087252,4824,17347463.594426833,0.2771753219208005,0.1731132492110553,0.2771753219208006,0.1731132492110581,32.0,19.0,2
15,217,71028740,62.58661212739475,71028740,51.26779744981474,-115.89569548548282,46,62586609.34967241,46,4980.0,51.3112,-115.8188,100230093.82956985,4980,11527999.390737535,0.184192745229741,0.115015350682397,0.184192745229741,0.1308252668735684,33.0,20.0,2
16,216,71028740,62.58661212739475,71028740,51.26779744981474,-115.89569548548282,46,62586609.34967241,46,4979.0,51.2807,-115.9538,100222852.81220296,4979,31977035.28655518,0.5109245510952505,0.3190593201978951,0.5109245510952507,0.3190593201979031,33.0,19.0,2
17,218,71028740,62.58661212739475,71028740,51.26779744981474,-115.89569548548282,46,62586609.34967241,46,5134.0,51.3653,-116.0029,100233806.51057331,5134,552347.8673129173,0.0088253361709841,0.0055105945443132,0.0088253361709841,0.0055105945443133,34.0,19.0,2
18,221,71028740,62.58661212739475,71028740,51.26779744981474,-115.89569548548282,46,62586609.34967241,46,4825.0,51.2265,-115.7701,100214991.20601718,4825,1181763.2106399068,0.0188820455832233,0.0117922797419648,0.0188820455832233,0.011792279741965,32.0,20.0,2
19,213,71028852,113.253720010744,71028852,51.30871166714242,-116.01815839755172,45,113253757.45251615,45,5134.0,51.3653,-116.0029,100233806.51057331,5134,35143869.10800734,0.3103108444127524,0.3506189212149708,0.3103108444127525,0.3506189212149728,34.0,19.0,2
20,211,71028852,113.253720010744,71028852,51.30871166714242,-116.01815839755172,45,113253757.45251615,45,4979.0,51.2807,-115.9538,100222852.81220296,4979,45498408.41441718,0.4017386216390504,0.4539723938977456,0.4017386216390505,0.4539723938977569,33.0,19.0,2
21,212,71028852,113.253720010744,71028852,51.30871166714242,-116.01815839755172,45,113253757.45251615,45,5133.0,51.3346,-116.1379,100230637.07975684,5133,15922208.103682963,0.1405887845298082,0.158855700887276,0.1405887845298083,0.1656104545271312,34.0,18.0,2
22,210,71028852,113.253720010744,71028852,51.30871166714242,-116.01815839755172,45,113253757.45251615,45,4978.0,51.25,-116.0886,100220123.76089516,4978,16689271.826408671,0.1473617494183888,0.1665261546296418,0.1473617494183888,0.3148304679887568,33.0,18.0,2
23,209,71028904,28.68860144294877,71028904,51.35101469668545,-116.10112398373984,44,28688600.468099646,44,5289.0,51.4499,-116.0522,100244102.91919632,5289,239488.9457097705,0.0083478783141084,0.0023890576975167,0.0083478783141084,0.0024030262707044,35.0,19.0,2
24,206,71028904,28.68860144294877,71028904,51.35101469668545,-116.10112398373984,44,28688600.468099646,44,5133.0,51.3346,-116.1379,100230637.07975684,5133,23399850.057151645,0.8156497589755611,0.2334600551179936,0.8156497589755614,0.2433870841654944,34.0,18.0,2
25,207,71028904,28.68860144294877,71028904,51.35101469668545,-116.10112398373984,44,28688600.468099646,44,5134.0,51.3653,-116.0029,100233806.51057331,5134,5049261.465238222,0.1760023627103301,0.0503748350084419,0.1760023627103302,0.0503748350084422,34.0,19.0,2
26,204,71028957,29.01825503149769,71028957,51.391795156906376,-116.12433098591546,43,29018257.702815287,43,5288.0,51.4191,-116.1875,100241287.56481984,5288,11614857.701818926,0.4002603402578535,0.1158689995308401,0.4002603402578534,0.1158689995308465,35.0,18.0,2
27,203,71028957,29.01825503149769,71028957,51.391795156906376,-116.12433098591546,43,29018257.702815287,43,5134.0,51.3653,-116.0029,100233806.51057331,5134,321583.84907356824,0.0110821212068279,0.0032083371895054,0.0110821212068279,0.0032083371895054,34.0,19.0,2
28,202,71028957,29.01825503149769,71028957,51.391795156906376,-116.12433098591546,43,29018257.702815287,43,5133.0,51.3346,-116.1379,100230637.07975684,5133,10789686.745196218,0.3718240721306099,0.1076485898878454,0.3718240721306097,0.1122259497201261,34.0,18.0,2
29,205,71028957,29.01825503149769,71028957,51.391795156906376,-116.12433098591546,43,29018257.702815287,43,5289.0,51.4499,-116.0522,100244102.91919632,5289,6292129.4067265885,0.216833466404709,0.0627680753629815,0.216833466404709,0.0631350738057004,35.0,19.0,2
30,197,71028974,13.984263472768143,71028974,51.43795268280193,-116.1526981687797,42,13984264.172342706,42,5133.0,51.3346,-116.1379,100230637.07975684,5133,63992.060546054985,0.0045760048406847,0.0006384481073899,0.0045760048406847,0.0006655957618534,34.0,18.0,2
31,198,71028974,13.984263472768143,71028974,51.43795268280193,-116.1526981687797,42,13984264.172342706,42,5288.0,51.4191,-116.1875,100241287.56481984,5288,13507077.924562918,0.9658769140872252,0.1347456547366146,0.9658769140872252,0.134745654736622,35.0,18.0,2
32,199,71028974,13.984263472768143,71028974,51.43795268280193,-116.1526981687797,42,13984264.172342706,42,5289.0,51.4499,-116.0522,100244102.91919632,5289,413194.1872337344,0.02954708107209,0.00412188024234,0.02954708107209,0.0041459804496709,35.0,19.0,2
33,196,71029016,8.364503786725496,71029016,51.40971990145674,-116.17702067266492,41,8364511.379157128,41,5288.0,51.4191,-116.1875,100241287.56481984,5288,8364511.379157128,1.0,0.0834437743404713,1.0,0.0834437743404759,35.0,18.0,2
34,194,71029022,0.139727367688363,71029022,51.42278846153847,-116.18025641025638,40,139727.36769206487,40,5288.0,51.4191,-116.1875,100241287.56481984,5288,139727.36769206487,1.0,0.0013939103445944,1.0,0.0013939103445944,35.0,18.0,2
35,192,71029071,9.518970433517712,71029071,51.44211625282167,-116.2007533860045,39,9518971.440156387,39,5288.0,51.4191,-116.1875,100241287.56481984,5288,8887740.177923132,0.9336870305576958,0.0886634678567549,0.9336870305576972,0.0886634678567597,35.0,18.0,2
36,193,71029071,9.518970433517712,71029071,51.44211625282167,-116.2007533860045,39,9518971.440156387,39,5443.0,51.5036,-116.2372,100256031.2423876,5443,631231.2622332425,0.0663129694423026,0.0062961924027006,0.0663129694423027,0.0062961924027005,36.0,18.0,2
37,188,71029528,85.56274339216739,71029528,51.52335156054151,-116.28186915058076,38,85562744.1825463,38,5443.0,51.5036,-116.2372,100256031.2423876,5443,50772094.97398122,0.5933902127503067,0.5064243451970509,0.5933902127503075,0.5064243451970388,36.0,18.0,2
38,186,71029528,85.56274339216739,71029528,51.52335156054151,-116.28186915058076,38,85562744.1825463,38,5288.0,51.4191,-116.1875,100241287.56481984,5288,981852.4854432626,0.0114752336992429,0.0097948910004608,0.011475233699243,0.0097948910004613,35.0,18.0,2
39,190,71029528,85.56274339216739,71029528,51.52335156054151,-116.28186915058076,38,85562744.1825463,38,5598.0,51.5881,-116.2871,100274426.0816763,5598,27428864.451377675,0.3205701817237041,0.2735379849398101,0.3205701817237045,0.2735379849398103,37.0,18.0,2
40,189,71029528,85.56274339216739,71029528,51.52335156054151,-116.28186915058076,38,85562744.1825463,38,5597.0,51.557,-116.4226,100283232.62985829,5597,4516269.431715291,0.0527831297939664,0.0450351401054718,0.0527831297939665,0.0795618259235094,37.0,17.0,2
41,187,71029528,85.56274339216739,71029528,51.52335156054151,-116.28186915058076,38,85562744.1825463,38,5442.0,51.4726,-116.3725,100263193.53747237,5442,1863662.840028751,0.0217812420327784,0.0185877067573378,0.0217812420327785,0.053089209306364,36.0,17.0,2
42,182,71029778,33.23130075101772,71029778,51.61169028829123,-116.31135193536274,37,33231299.416593157,37,5598.0,51.5881,-116.2871,100274426.0816763,5598,27720006.0850494,0.8341535411404395,0.2764414334565294,0.83415354114044,0.2764414334565296,37.0,18.0,2
43,183,71029778,33.23130075101772,71029778,51.61169028829123,-116.31135193536274,37,33231299.416593157,37,5753.0,51.6726,-116.3372,100289660.16089223,5753,5511293.331543731,0.1658464588595598,0.0549537541826555,0.1658464588595599,0.0684183565076423,38.0,18.0,2
