#bow at banff
2 0 0 24 2000 1 0
3070.3338 -6934.308 05BB001 #data to: 2016/12/31
3085.716 -6971.334 05BA001 #data to: 2019/10/31
15	-1
13.3	-1
11.8	-1
12.9	-1
13.5	-1
13	-1
13	-1
12.8	-1
12.6	-1
11.8	-1
10.4	-1
10.1	-1
10.6	-1
10.4	-1
10.4	-1
10.7	-1
10.9	-1
11.3	-1
10.5	-1
9.52	-1
10.2	-1
10.8	-1
10.1	-1
9.45	-1
9.03	-1
9.49	-1
10.2	-1
9.73	-1
9.14	-1
9.07	-1
9.11	-1
9.6	-1
9.89	-1
9.71	-1
9.21	-1
9.13	-1
9.33	-1
10	-1
10.2	-1
10.5	-1
10.1	-1
9	-1
8.8	-1
8.9	-1
9	-1
9.2	-1
9.5	-1
9.7	-1
10	-1
10.4	-1
10.8	-1
11.2	-1
11.5	-1
11.5	-1
11	-1
9.96	-1
9.42	-1
9.57	-1
9.73	-1
9.73	-1
9.65	-1
9.54	-1
9.48	-1
9.33	-1
9.27	-1
9.15	-1
9.14	-1
8.97	-1
9.2	-1
9.44	-1
9.41	-1
9.16	-1
8.99	-1
8.95	-1
8.79	-1
8.95	-1
8.91	-1
8.9	-1
9.01	-1
8.8	-1
8.94	-1
8.83	-1
9	-1
8.95	-1
8.98	-1
8.92	-1
8.99	-1
9.16	-1
9.08	-1
8.82	-1
8.79	-1
9	-1
9.22	-1
9.22	-1
9.43	-1
9.48	-1
9.15	-1
8.82	-1
9	-1
9.29	-1
9.31	-1
9.32	-1
9.26	-1
9.45	-1
8.4	-1
8.11	-1
9.42	-1
9.78	-1
9.57	-1
9.54	-1
9.96	-1
10.3	-1
11.1	-1
11.8	-1
11.7	-1
11.3	-1
10.9	-1
11	-1
11.7	-1
13.2	-1
13.3	-1
13.4	3.6
14.5	3.8
15.8	4.11
17.4	4.6
17.2	4.56
16.8	4.52
15.9	4.48
15.4	4.46
15.4	4.45
15.7	4.43
15.8	4.39
15	4.31
14.6	4.35
14.9	4.51
15.5	5.11
17.3	6.05
20.9	7.19
26.7	8.5
32	9.32
34.3	10.1
37.3	12
52.1	15.2
60.6	15.5
56.1	14.8
53.6	14
52.4	13.2
50.2	12.9
51.2	13.2
50.2	12.8
50.1	13.2
48.5	12.7
46.6	12.3
47.8	12.2
50.6	12.5
60.8	13.6
76	15.7
89.6	19.1
102	21.6
111	24.8
129	29.4
138	31.6
130	30.2
113	26
100	22.2
95.2	20.5
102	20.3
97.4	19.2
93.9	18.7
96.2	19.1
103	20.2
102	20
103	20.4
117	22.5
111	21.8
108	21.9
104	20.8
103	20.9
112	22.7
120	25.3
131	28.5
147	31.9
151	33.8
153	34.8
139	31.7
128	29.9
121	28.1
113	25.1
106	23.4
102	23
108	24.5
112	26.7
115	28.3
121	30.1
129	32.2
135	35.1
141	38
130	33.8
118	30.7
112	29.1
111	29.7
117	32.3
123	34.5
124	35.7
125	37.7
126	38.7
122	37.1
119	35.9
113	33.6
106	31.9
109	34.5
110	34.6
105	33.8
108	34.6
106	33.3
99.6	31.1
100	29.6
99.7	29.3
96.1	30.1
97.5	30.4
91.3	28.2
86.4	27.3
85.7	27.5
83.5	26.6
79.7	24.4
73.6	22
69.8	20.1
64.2	18
60.8	16.5
57.2	15.6
55.2	15.3
53.9	15
52.2	13.7
48.7	12.3
45.6	11.7
44.3	12.1
44.6	12.9
45.8	13.9
47.4	14.9
49.1	14.1
45.7	12.6
43.3	11.9
45	11.6
42.8	10.6
40.8	10.4
41.2	11
46.2	10.8
44.4	10
41.2	9.13
38.6	8.53
36.3	8.04
40.8	9.52
43.9	8.85
40.5	8.58
38.3	7.95
36.1	7.75
36.7	7.78
36.2	7.69
36.3	7.98
37.7	8.37
39.2	9.17
43.1	11.6
47.2	11.1
44.8	10.3
42.6	9.55
38.8	8.52
36.2	7.9
34.3	7.4
32.4	7.05
30.8	6.82
29.6	6.58
29	6.4
28.4	6.36
30.3	7.23
33.9	6.93
31.3	6.26
29.2	5.8
27.9	5.49
25.8	5.02
24.7	4.74
24.6	4.57
23.9	4.48
23.2	4.39
22.7	4.33
22.3	4.18
21.6	4.05
21.1	3.94
20.7	3.93
20.4	3.83
19.9	3.73
19.7	3.84
20.3	4.39
21.9	4.55
20.9	4.4
21	4.47
20	4.08
19.3	3.94
19	3.82
18.6	3.71
18.2	3.6
18	3.52
17.7	3.5
17.5	3.43
17.1	3.3
16.2	3.18
16.3	-1
14.8	-1
14.9	-1
16.2	-1
15.7	-1
12.6	-1
11.4	-1
11	-1
10.4	-1
10	-1
9.88	-1
9.52	-1
9.61	-1
9.58	-1
9.89	-1
10.3	-1
10.1	-1
10.5	-1
10.8	-1
10.4	-1
10.4	-1
10.9	-1
11.2	-1
12	-1
12.6	-1
13	-1
13.2	-1
12.9	-1
12.2	-1
12.7	-1
12.6	-1
12.4	-1
12.6	-1
11.3	-1
11.3	-1
10.1	-1
9.66	-1
8.6	-1
8.49	-1
7.99	-1
7.88	-1
7.96	-1
8.08	-1
8.24	-1
8.55	-1
8.63	-1
9.04	-1
9.36	-1
10.1	-1
10	-1
9.46	-1
10.1	-1
10.6	-1
10.9	-1
10.9	-1
10.9	-1
10.8	-1
10.7	-1
10.4	-1
10.2	-1
9.85	-1
10.2	-1
10	-1
10.1	-1
