           YEAR,           JDAY,        QOMEAS1,         QOSIM1,        QOMEAS2,         QOSIM2,
           1980,              2,   15.00000    ,   993.4434    ,  -1.000000    ,   438.1848    ,
           1980,              3,   13.30000    ,   539.6516    ,  -1.000000    ,   26.16240    ,
           1980,              4,   11.80000    ,   51.90444    ,  -1.000000    ,  0.6934587    ,
           1980,              5,   12.90000    ,   2.727943    ,  -1.000000    ,  0.3151039    ,
           1980,              6,   13.50000    ,   1.358305    ,  -1.000000    ,  0.3051307    ,
           1980,              7,   13.00000    ,   1.098226    ,  -1.000000    ,  0.3535407    ,
           1980,              8,   13.00000    ,   1.121396    ,  -1.000000    ,  0.4123782    ,
           1980,              9,   12.80000    ,   1.249311    ,  -1.000000    ,  0.4690988    ,
           1980,             10,   12.60000    ,   1.405049    ,  -1.000000    ,  0.5210825    ,
           1980,             11,   11.80000    ,   1.556424    ,  -1.000000    ,  0.5685694    ,
           1980,             12,   10.40000    ,   1.695447    ,  -1.000000    ,  0.6122916    ,
           1980,             13,   10.10000    ,   1.821966    ,  -1.000000    ,  0.6527956    ,
           1980,             14,   10.60000    ,   1.937817    ,  -1.000000    ,  0.6904388    ,
           1980,             15,   10.40000    ,   2.044589    ,  -1.000000    ,  0.7255139    ,
           1980,             16,   10.40000    ,   2.143454    ,  -1.000000    ,  0.7582619    ,
           1980,             17,   10.70000    ,   2.235324    ,  -1.000000    ,  0.7888864    ,
           1980,             18,   10.90000    ,   2.320913    ,  -1.000000    ,  0.8175405    ,
           1980,             19,   11.30000    ,   2.400759    ,  -1.000000    ,  0.8443289    ,
           1980,             20,   10.50000    ,   2.475196    ,  -1.000000    ,  0.8693129    ,
           1980,             21,   9.520000    ,   2.544335    ,  -1.000000    ,  0.8924827    ,
           1980,             22,   10.20000    ,   2.608242    ,  -1.000000    ,  0.9138670    ,
           1980,             23,   10.80000    ,   2.667067    ,  -1.000000    ,  0.9335276    ,
           1980,             24,   10.10000    ,   2.721028    ,  -1.000000    ,  0.9515431    ,
           1980,             25,   9.450000    ,   2.770440    ,  -1.000000    ,  0.9680828    ,
           1980,             26,   9.030000    ,   2.815753    ,  -1.000000    ,  0.9833345    ,
           1980,             27,   9.490000    ,   2.857416    ,  -1.000000    ,  0.9974189    ,
           1980,             28,   10.20000    ,   2.895705    ,  -1.000000    ,   1.010376    ,
           1980,             29,   9.730000    ,   2.930733    ,  -1.000000    ,   1.022206    ,
           1980,             30,   9.140000    ,   2.962347    ,  -1.000000    ,   1.032940    ,
           1980,             31,   9.070000    ,   2.990227    ,  -1.000000    ,   1.042598    ,
           1980,             32,   9.110000    ,   3.014118    ,  -1.000000    ,   1.051146    ,
           1980,             33,   9.600000    ,   3.034001    ,  -1.000000    ,   1.058540    ,
           1980,             34,   9.890000    ,   3.050410    ,  -1.000000    ,   1.064911    ,
           1980,             35,   9.710000    ,   3.063673    ,  -1.000000    ,   1.070349    ,
           1980,             36,   9.210000    ,   3.074401    ,  -1.000000    ,   1.075018    ,
           1980,             37,   9.130000    ,   3.083112    ,  -1.000000    ,   1.079021    ,
           1980,             38,   9.330000    ,   3.090097    ,  -1.000000    ,   1.082393    ,
           1980,             39,   10.00000    ,   3.095304    ,  -1.000000    ,   1.084922    ,
           1980,             40,   10.20000    ,   3.099045    ,  -1.000000    ,   1.086733    ,
           1980,             41,   10.50000    ,   3.101166    ,  -1.000000    ,   1.087770    ,
           1980,             42,   10.10000    ,   3.100965    ,  -1.000000    ,   1.088067    ,
           1980,             43,   9.000000    ,   3.098658    ,  -1.000000    ,   1.087531    ,
           1980,             44,   8.800000    ,   3.093843    ,  -1.000000    ,   1.085723    ,
           1980,             45,   8.900000    ,   3.086051    ,  -1.000000    ,   1.082647    ,
           1980,             46,   9.000000    ,   3.076100    ,  -1.000000    ,   1.078960    ,
           1980,             47,   9.200000    ,   3.064743    ,  -1.000000    ,   1.074596    ,
           1980,             48,   9.500000    ,   3.052281    ,  -1.000000    ,   1.069774    ,
           1980,             49,   9.700000    ,   3.038840    ,  -1.000000    ,   1.064491    ,
           1980,             50,   10.00000    ,   3.024606    ,  -1.000000    ,   1.059193    ,
           1980,             51,   10.40000    ,   3.010101    ,  -1.000000    ,   1.053925    ,
           1980,             52,   10.80000    ,   2.995569    ,  -1.000000    ,   1.048690    ,
           1980,             53,   11.20000    ,   2.981008    ,  -1.000000    ,   1.043487    ,
           1980,             54,   11.50000    ,   2.966489    ,  -1.000000    ,   1.038318    ,
           1980,             55,   11.50000    ,   2.952050    ,  -1.000000    ,   1.033180    ,
           1980,             56,   11.00000    ,   2.937707    ,  -1.000000    ,   1.028075    ,
           1980,             57,   9.960000    ,   2.923435    ,  -1.000000    ,   1.023000    ,
           1980,             58,   9.420000    ,   2.909271    ,  -1.000000    ,   1.017958    ,
           1980,             59,   9.570000    ,   2.895184    ,  -1.000000    ,   1.012948    ,
           1980,             60,   9.730000    ,   2.881180    ,  -1.000000    ,   1.007969    ,
           1980,             61,   9.730000    ,   2.867279    ,  -1.000000    ,   1.003020    ,
           1980,             62,   9.650000    ,   2.853436    ,  -1.000000    ,  0.9981031    ,
           1980,             63,   9.540000    ,   2.839700    ,  -1.000000    ,  0.9932155    ,
           1980,             64,   9.480000    ,   2.826039    ,  -1.000000    ,  0.9883591    ,
           1980,             65,   9.330000    ,   2.812455    ,  -1.000000    ,  0.9835329    ,
           1980,             66,   9.270000    ,   2.798974    ,  -1.000000    ,  0.9787360    ,
           1980,             67,   9.150000    ,   2.785551    ,  -1.000000    ,  0.9739691    ,
           1980,             68,   9.140000    ,   2.772227    ,  -1.000000    ,  0.9692310    ,
           1980,             69,   8.970000    ,   2.758975    ,  -1.000000    ,  0.9645222    ,
           1980,             70,   9.200000    ,   2.745799    ,  -1.000000    ,  0.9598426    ,
           1980,             71,   9.440000    ,   2.732718    ,  -1.000000    ,  0.9551917    ,
           1980,             72,   9.410000    ,   2.719702    ,  -1.000000    ,  0.9505700    ,
           1980,             73,   9.160000    ,   2.706767    ,  -1.000000    ,  0.9459757    ,
           1980,             74,   8.990000    ,   2.693926    ,  -1.000000    ,  0.9414099    ,
           1980,             75,   8.950000    ,   2.681134    ,  -1.000000    ,  0.9368719    ,
           1980,             76,   8.790000    ,   2.668443    ,  -1.000000    ,  0.9323622    ,
           1980,             77,   8.950000    ,   2.655819    ,  -1.000000    ,  0.9278797    ,
           1980,             78,   8.910000    ,   2.643263    ,  -1.000000    ,  0.9234245    ,
           1980,             79,   8.900000    ,   2.630801    ,  -1.000000    ,  0.9189962    ,
           1980,             80,   9.010000    ,   2.618403    ,  -1.000000    ,  0.9145948    ,
           1980,             81,   8.800000    ,   2.606075    ,  -1.000000    ,  0.9102218    ,
           1980,             82,   8.940000    ,   2.593838    ,  -1.000000    ,  0.9058737    ,
           1980,             83,   8.830000    ,   2.581647    ,  -1.000000    ,  0.9015514    ,
           1980,             84,   9.000000    ,   2.569549    ,  -1.000000    ,  0.8972573    ,
           1980,             85,   8.950000    ,   2.557518    ,  -1.000000    ,  0.8929870    ,
           1980,             86,   8.980000    ,   2.545551    ,  -1.000000    ,  0.8887426    ,
           1980,             87,   8.920000    ,   2.533663    ,  -1.000000    ,  0.8845250    ,
           1980,             88,   8.990000    ,   2.521853    ,  -1.000000    ,  0.8803321    ,
           1980,             89,   9.160000    ,   2.510089    ,  -1.000000    ,  0.8761649    ,
           1980,             90,   9.080000    ,   2.498422    ,  -1.000000    ,  0.8720220    ,
           1980,             91,   8.820000    ,   2.486811    ,  -1.000000    ,  0.8679054    ,
           1980,             92,   8.790000    ,   2.475260    ,  -1.000000    ,  0.8638129    ,
           1980,             93,   9.000000    ,   2.463792    ,  -1.000000    ,  0.8597437    ,
           1980,             94,   9.220000    ,   2.452386    ,  -1.000000    ,  0.8556988    ,
           1980,             95,   9.220000    ,   2.441174    ,  -1.000000    ,  0.8516784    ,
           1980,             96,   9.430000    ,   2.433817    ,  -1.000000    ,  0.8477036    ,
           1980,             97,   9.480000    ,   2.422751    ,  -1.000000    ,  0.8437113    ,
           1980,             98,   9.150000    ,   2.407782    ,  -1.000000    ,  0.8397645    ,
           1980,             99,   8.820000    ,   2.396435    ,  -1.000000    ,  0.8358368    ,
           1980,            100,   9.000000    ,   2.385335    ,  -1.000000    ,  0.8319339    ,
           1980,            101,   9.290000    ,   2.375188    ,  -1.000000    ,  0.8280556    ,
           1980,            102,   9.310000    ,   2.368509    ,  -1.000000    ,  0.8242000    ,
           1980,            103,   9.320000    ,   2.375938    ,  -1.000000    ,  0.8207437    ,
           1980,            104,   9.260000    ,   2.467436    ,  -1.000000    ,  0.8194443    ,
           1980,            105,   9.450000    ,   2.641315    ,  -1.000000    ,  0.8200456    ,
